*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=LED ARRAY V1_1
*Date=20:01:14
*CreatedBy=Fritzing 0.9.6b.2021-02-21.CD-175-0-8a1e0682
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
443;;;28.5044;-51.5639;0;Bottom;Via395
444;;;278.504;-155.564;0;Bottom;Via1684
445;;;214.505;-93.5639;0;Bottom;Via1717
446;;;151.504;-112.564;0;Bottom;Via2351
447;;;259.505;-113.564;0;Bottom;Via1060
448;;;216.505;-112.564;0;Bottom;Via1109
449;;;151.504;-32.5638;0;Bottom;Via1924
450;;;256.505;-7.56399;0;Bottom;Via1510
451;;;255.505;-29.5641;0;Bottom;Via1603
452;;;8.50468;-10.5637;0;Bottom;Via185
453;;;149.504;-112.564;0;Bottom;Via2382
454;;;171.505;-33.5637;0;Bottom;Via2401
455;;;175.505;-8.56391;0;Bottom;Via2569
456;;;171.505;-132.564;0;Bottom;Via2663
457;;;24.5045;-112.564;0;Bottom;Via421
458;;;213.505;-31.5636;0;Bottom;Via1380
459;;;174.504;-49.5637;0;Bottom;Via2493
460;;;235.505;-95.564;0;Bottom;Via1289
461;;;68.5046;-52.5638;0;Bottom;Via833
462;;;175.505;-50.5639;0;Bottom;Via2067
463;;;170.505;-135.564;0;Bottom;Via2147
464;;;132.504;-114.564;0;Bottom;Via2534
465;;;45.5049;-155.564;0;Bottom;Via591
466;1–5Watt;luxeon;46.8099;-114.511;-90;Top;U20
467;;;109.505;-49.5637;0;Bottom;Via2199
468;;;67.5047;-7.56371;0;Bottom;Via884
469;;;140.505;-40.5638;0;Bottom;Hole54
470;;;278.504;-159.564;0;Bottom;Via1326
471;;;90.5047;-31.5636;0;Bottom;Via961
472;1;2512 [SMD];192.505;-169.764;-90;Top;R5
473;;;27.5045;-73.5636;0;Bottom;Via463
474;;;153.504;-7.56371;0;Bottom;Via2617
475;;;45.5049;-75.564;0;Bottom;Via663
476;;;65.5046;-112.564;0;Bottom;Via757
477;;;171.505;-54.5639;0;Bottom;Via2281
478;;;193.505;-28.5636;0;Bottom;Via2239
479;;;86.5047;-73.5636;0;Bottom;Via1000
480;;;254.505;-95.5643;0;Bottom;Via1881
481;;;258.505;-32.5641;0;Bottom;Via1802
482;;;267.505;-164.564;0;Bottom;Hole2
483;;;88.5049;-132.564;0;Bottom;Via890
484;;;257.505;-155.564;0;Bottom;Via1142
485;;;253.505;-113.564;0;Bottom;Via1586
486;;;6.50468;-155.564;0;Bottom;Via15
487;;;8.50468;-31.5636;0;Bottom;Via175
488;;;7.50468;-158.564;0;Bottom;Via1
489;;;192.505;-96.5639;0;Bottom;Via1928
490;;;3.50469;-49.5637;0;Bottom;Via136
491;;;196.505;-10.5637;0;Bottom;Via2404
