*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=LED ARRAY V1_0
*Date=17:29:52
*CreatedBy=Fritzing 0.9.6b.2021-02-21.CD-175-0-8a1e0682
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
404;;;222.244;-40.3703;0;Bottom;Via1335
405;;;286.244;-63.3703;0;Bottom;Via1391
406;;;245.244;-122.37;0;Bottom;Via1675
407;;;16.2437;-169.37;0;Bottom;Via2
408;;;284.244;-103.37;0;Bottom;Via1277
409;;;15.2437;-170.37;0;Bottom;Via22
410;;;286.244;-19.3704;0;Bottom;Via1822
411;1–5Watt;luxeon;141.584;-167.15;-90;Bottom;U58
412;;;265.244;-61.3707;0;Bottom;Via1523
413;;;121.244;-170.371;0;Bottom;Via2536
414;;;264.244;-148.371;0;Bottom;Via1636
415;;;226.244;-80.3702;0;Bottom;Via1171
416;;;243.244;-40.3703;0;Bottom;Via1738
417;;;139.244;-165.37;0;Bottom;Via2379
418;;;183.244;-63.3704;0;Bottom;Via2475
419;;;76.2435;-127.37;0;Bottom;Via763
420;;;181.244;-166.371;0;Bottom;Via2214
421;;;13.2437;-84.3701;0;Bottom;Via168
422;;;290.244;-19.3704;0;Bottom;Via1252
423;;;119.244;-166.371;0;Bottom;Via2263
424;;;182.244;-148.371;0;Bottom;Via2630
425;;;290.244;-126.37;0;Bottom;Via1212
426;;;142.244;-59.3704;0;Bottom;Via2697
427;1–5Watt;luxeon;141.17;-62.4469;-90;Bottom;U35
428;;;121.244;-84.3702;0;Bottom;Via2047
429;;;184.244;-85.3704;0;Bottom;Via2110
430;;;58.2438;-42.3704;0;Bottom;Via625
431;;;35.2436;-20.3702;0;Bottom;Via437
432;;;17.2437;-21.3703;0;Bottom;Via187
433;;;164.244;-82.3707;0;Bottom;Via1910
434;;;37.2437;-148.37;0;Bottom;Via479
435;;;164.244;-126.371;0;Bottom;Via1980
436;;;98.2436;-104.37;0;Bottom;Via946
437;;;268.244;-102.371;0;Bottom;Via1089
438;;;143.243;-148.371;0;Bottom;Via2181
439;;;59.2437;-106.371;0;Bottom;Via701
440;;;100.244;-144.37;0;Bottom;Via985
441;1–5Watt;luxeon;183.481;-146.16;-90;Bottom;U100
442;;;243.244;-42.3701;0;Bottom;Via1530
443;;;77.2437;-61.3705;0;Bottom;Via870
444;;;59.2437;-165.371;0;Bottom;Via597
445;;;265.244;-59.3706;0;Bottom;Via1394
446;;;264.244;-43.3706;0;Bottom;Via1460
447;;;201.244;-61.3705;0;Bottom;Via2448
448;;;245.244;-38.3702;0;Bottom;Via1113
449;;;143.243;-125.37;0;Bottom;Via2534
450;;;247.244;-23.3704;0;Bottom;Via1755
451;;;78.2436;-127.37;0;Bottom;Via781
452;;;247.244;-101.37;0;Bottom;Via1773
453;;;81.2436;-147.37;0;Bottom;Via829
454;;;247.244;-17.3703;0;Bottom;Via1885
455;;;246.244;-148.371;0;Bottom;Via1345
456;;;201.244;-103.371;0;Bottom;Via2384
457;;;140.244;-124.37;0;Bottom;Via2359
458;;;141.244;-148.371;0;Bottom;Via2609
459;;;140.244;-17.3704;0;Bottom;Via2637
460;;;289.244;-169.37;0;Bottom;Via1625
461;;;15.2437;-149.37;0;Bottom;Via28
462;;;35.2436;-64.3704;0;Bottom;Via480
463;;;17.2437;-107.37;0;Bottom;Via71
464;;;181.244;-82.3704;0;Bottom;Via1942
465;;;38.2436;-107.37;0;Bottom;Via526
466;;;160.244;-128.371;0;Bottom;Via2035
467;;;98.2436;-123.37;0;Bottom;Via925
468;;;36.2438;-170.37;0;Bottom;Via420
469;;;158.244;-168.371;0;Bottom;Via1903
470;;;290.244;-145.371;0;Bottom;Via1237
471;;;120.244;-123.37;0;Bottom;Via2102
472;;;119.244;-124.37;0;Bottom;Via2176
473;;;60.2439;-61.3707;0;Bottom;Via642
474;;;60.2439;-42.3704;0;Bottom;Via690
475;;;99.2438;-84.37;0;Bottom;Via894
476;;;118.244;-144.37;0;Bottom;Via2253
477;;;59.2437;-81.3704;0;Bottom;Via569
478;;;99.2438;-44.3701;0;Bottom;Via932
479;;;101.244;-63.3702;0;Bottom;Via1001
480;;;246.244;-81.3701;0;Bottom;Via1555
481;;;222.244;-124.37;0;Bottom;Via1762
482;;;266.244;-106.371;0;Bottom;Via1196
483;;;121.244;-82.3704;0;Bottom;Via2402
484;;;162.244;-124.371;0;Bottom;Via2342
